NºPer.;Desde*;Hasta*;Nombrto/Contrato;Razón de Alta;Plaza;RJ;Cláusula;T.Nombrto;Días;Puesto trabajo;GFH;Dirección;Puesto Sustitutido;Necesidad
00001148;26/04/2026;20260426;TEMPORAL. T. COMPLETO. N. ESTATU;ACUMULACION DE TAREAS;AUXILIAR DE ENFERMERÍA;E;I_9_1c;N91c;116;AUXILIAR DE ENFERMERÍA;PLANTILLA VOLANTE DEL EAA (EDIFICIO DE ACTIVIDADES;DIRECCIÓN DE ENFERMERÍA;;0
00001149;30/09/2026;20260930;TEMPORAL. T. COMPLETO. N. ESTATU;ACUMULACION DE TAREAS;AUXILIAR DE ENFERMERÍA;E;I_9_1c;N91c;157;AUXILIAR DE ENFERMERÍA;PLANTILLA VOLANTE DEL EAA (EDIFICIO DE ACTIVIDADES;DIRECCIÓN DE ENFERMERÍA;;0
00001150;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;AUXILIAR DE ENFERMERÍA;E;I_9_1a;N91a;217;AUXILIAR DE ENFERMERÍA;URGENCIAS;DIRECCIÓN DE ENFERMERÍA;;0
00001151;31/01/2026;20260131;TEMPORAL. T. COM. INTER. N. ESTA;LIBRE DISPOSICION;AUXILIAR DE ENFERMERÍA;E;S_9B_1aV;S9b1a;31;AUXILIAR DE ENFERMERÍA;UDAD.CORONARIAS;DIRECCIÓN DE ENFERMERÍA;AUXILIAR DE ENFERMERÍA;0
00001152;25/05/2026;20260525;TEMPORAL. T. COM. INTER. N. ESTA;MES VENCIDO - INCAPACIDAD TEMPORAL;AUXILIAR DE ENFERMERÍA;E;S_9B_1a;S9b1a;55;AUXILIAR DE ENFERMERÍA;PLANTA 1ª - SUBAGUDOS;DIRECCIÓN DE ENFERMERÍA;AUXILIAR DE ENFERMERÍA;0
00001153;07/06/2026;20260607;TEMPORAL. T. COM. INTER. N. ESTA;BAJA MATERNAL;AUXILIAR DE ENFERMERÍA;E;S_9B_1a;S9b1a;12;AUXILIAR DE ENFERMERÍA;PLANTA 2ª - HOSPITAL DEL NORTE;DIRECCIÓN DE ENFERMERÍA;AUXILIAR DE ENFERMERÍA;0
00001154;30/06/2026;20260630;TEMPORAL. T. COM. INTER. N. ESTA;VACACIONES Y LIBRANZAS;AUXILIAR DE ENFERMERÍA;E;S_9B_1aV;S9b1a;22;AUXILIAR DE ENFERMERÍA;AREA.ENFERMERIA - CAE LA OROTAVA;DIRECCIÓN DE ENFERMERÍA;AUXILIAR DE ENFERMERÍA;0
00001155;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;DESEMPEÑO FUNCIONES SUPERIOR CATEGORIA;ENFERMERO/A;E;S_9B_1a;S9b1a;365;ENFERMERA/O;UDES.ESPECIALES SUPLENCIAS;DIRECCIÓN DE ENFERMERÍA;MATRONA;0
00001156;31/12/2026;20261231;TEMPORAL. T. COMPLETO. N. ESTATU;PROGRAMA CARACTER TEMPORAL;FEA CIRUGÍA GENERAL Y A.D.;E;I_9_1b;N91b;365;FEA CIRUGÍA GENERAL Y APARATO DIGESTIVO;P.MÉDICO CIRUG.GENERAL;DIRECCIÓN MÉDICA;;0
00001157;17/02/2026;20260217;TEMPORAL. T. COMPLETO. N. ESTATU;ACUMULACION DE TAREAS;TÉC ESPECIALISTA / LABORATORIO;E;I_9_1c;N91c;48;TÉCNICO ESPECIALISTA LABORATORIO;GERENCIA;GERENCIA;;0
